Sample,Period,RC,QR,CS,EP,WC,Average,MidtermsAverage
1,2018 - II,2.3300,1.6700,1.6700,1.6700,3.7500,2.2200,3.2889
2,2018 - II,3.0000,1.6700,1.3300,1.2200,3.7500,2.1900,3.5133
3,2018 - II,3.6700,3.0000,4.0000,3.0000,3.7500,3.4800,3.1889
4,2018 - II,3.3300,2.6700,4.6700,3.8900,3.7500,3.6600,3.9667
5,2018 - II,3.0000,3.0000,3.3300,3.2200,3.7500,3.2600,3.9600
6,2018 - II,2.6700,2.0000,3.6700,3.5600,3.7500,3.1300,3.8067
7,2018 - II,3.3300,2.3300,3.3300,2.5600,3.7500,3.0600,3.1833
8,2018 - II,3.6700,2.3300,3.0000,3.2200,3.7500,3.1900,3.1267
9,2018 - II,2.0000,1.0000,2.0000,1.5600,2.5000,1.8100,2.5933
10,2018 - II,1.3300,1.0000,3.3300,1.8900,2.5000,2.0100,3.6444
11,2018 - II,2.3300,1.3300,2.0000,1.8900,2.5000,2.0100,3.1333
12,2018 - II,3.0000,1.6700,1.6700,1.3300,2.5000,2.0300,2.9667
13,2018 - II,2.3300,3.0000,3.3300,1.6700,3.7500,2.8200,2.7000
14,2018 - II,1.6700,1.3300,2.6700,1.5600,2.5000,1.9400,3.0333
15,2018 - II,3.0000,1.3300,1.6700,1.8900,3.7500,2.3300,2.5167
16,2018 - II,2.6700,2.0000,4.0000,2.2200,3.7500,2.9300,3.1000
17,2018 - II,3.0000,1.6700,2.6700,1.6700,3.7500,2.5500,3.2667
18,2018 - II,3.0000,1.6700,3.0000,1.8900,2.5000,2.4100,2.0556
19,2018 - II,3.0000,1.6700,1.6700,1.6700,1.2500,1.8500,2.6667
20,2018 - II,3.0000,1.3300,2.0000,1.8900,3.7500,2.3900,3.3067
21,2018 - II,2.3300,2.6700,2.6700,1.4400,3.7500,2.5700,3.0333
22,2018 - II,2.3300,0.3300,3.0000,2.3300,3.7500,2.3500,3.6933
23,2018 - II,2.6700,1.3300,3.6700,2.1100,3.7500,2.7100,3.2867
24,2018 - II,2.6700,0.6700,2.3300,3.7800,3.7500,2.6400,3.6067
25,2018 - II,2.3300,0.6700,1.3300,1.4400,2.5000,1.6600,3.3067
26,2018 - II,3.0000,1.0000,2.0000,1.5600,3.7500,2.2600,3.3867
27,2018 - II,2.0000,1.3300,2.6700,2.4400,2.5000,2.1900,3.1556
28,2018 - II,2.0000,1.6700,3.0000,2.3300,3.7500,2.5500,3.1222
29,2018 - II,1.6700,1.0000,2.3300,2.0000,2.5000,1.9000,2.4833
30,2018 - II,2.3300,1.0000,2.6700,2.1100,0.0000,1.6200,3.3667
31,2018 - II,3.0000,2.0000,1.6700,3.0000,2.5000,2.4300,3.8000
32,2018 - II,0.6700,2.0000,1.6700,0.7800,1.2500,1.2700,3.2000
33,2018 - II,2.3300,3.6700,4.3300,3.2200,2.5000,3.2100,3.6667
34,2018 - II,3.6700,2.0000,2.0000,2.3300,5.0000,3.0000,2.9667
35,2018 - II,3.6700,3.6700,3.6700,4.3300,2.5000,3.5700,4.1500
36,2018 - II,3.3300,2.6700,3.0000,3.1100,3.7500,3.1700,3.9750
37,2018 - II,2.6700,3.6700,2.3300,3.8900,3.7500,3.2600,3.8556
38,2018 - II,3.3300,2.6700,4.3300,2.0000,3.7500,3.2200,3.8917
39,2018 - II,3.3300,3.0000,3.3300,2.3300,3.7500,3.1500,3.9583
40,2018 - II,3.3300,3.0000,4.0000,2.1100,3.7500,3.2400,3.6750
41,2018 - II,3.0000,3.3300,3.0000,2.4400,3.7500,3.1100,3.5250
42,2018 - II,2.6700,3.3300,4.0000,2.8900,3.7500,3.3300,3.5833
43,2018 - II,3.6700,3.3300,3.0000,1.7800,3.7500,3.1100,3.6417
44,2018 - II,2.6700,3.6700,4.3300,4.2200,3.7500,3.7300,3.9333
45,2018 - II,3.6700,3.6700,3.6700,1.5600,3.7500,3.2600,3.7833
46,2018 - II,3.0000,3.3300,3.6700,2.7800,3.7500,3.3100,3.3222
47,2018 - II,3.6700,2.0000,2.6700,3.0000,3.7500,3.0200,3.9083
48,2018 - II,3.0000,2.6700,4.6700,2.4400,3.7500,3.3100,3.7083
49,2018 - II,2.3300,3.6700,3.6700,3.6700,3.7500,3.4200,4.1667
50,2018 - II,2.3300,1.6700,3.0000,1.7800,3.7500,2.5100,3.8667
51,2018 - II,2.0000,3.0000,1.6700,1.2200,2.5000,2.0800,3.5833
52,2018 - II,2.0000,2.3300,2.3300,1.7800,2.5000,2.1900,3.5250
53,2018 - II,3.0000,1.3300,0.6700,1.4400,3.7500,2.0400,3.1000
54,2018 - II,1.6700,2.3300,2.3300,1.8900,2.5000,2.1400,3.3333
55,2018 - II,1.3300,3.0000,2.3300,3.6700,2.5000,2.5700,3.1111
56,2018 - II,2.6700,2.0000,3.0000,2.2200,5.0000,2.9800,4.1667
57,2018 - II,1.6700,1.6700,2.6700,1.7800,3.7500,2.3100,3.1667
58,2018 - II,3.0000,3.3300,3.3300,1.7800,0.0000,2.2900,3.4000
59,2018 - II,1.6700,0.3300,1.6700,1.3300,3.7500,1.7500,3.1000
60,2018 - II,2.0000,1.6700,2.3300,1.3300,2.5000,1.9700,3.4833
61,2018 - II,2.6700,1.3300,2.0000,1.5600,3.7500,2.2600,3.5833
62,2018 - II,2.6700,2.3300,3.3300,1.6700,3.7500,2.7500,3.4111
63,2018 - II,1.6700,2.0000,2.0000,1.5600,0.0000,1.4400,3.6778
64,2018 - II,2.6700,2.3300,2.6700,1.7800,2.5000,2.3900,3.6583
65,2018 - II,2.0000,3.0000,1.6700,1.4400,2.5000,2.1200,3.8500
66,2018 - II,2.0000,0.3300,2.0000,1.6700,2.5000,1.7000,3.0667
67,2018 - II,2.3300,2.0000,3.0000,2.2200,3.7500,2.6600,3.7111
